Code,Soil Names,% Sand (O,A horizon),% Silt (O,A horizon),% Clay (O,A horizon),Hydro Group
657822,McQueen-Houlka-Bama (s161),61.7,23.2,15.1,C
657823,Orangeburg-Luverne-Conecuh (s162),65.0,20.4,14.6,B
657824,Sumter-Searcy-Oktibbeha-Demopolis-Congaree-Brantley (s163),47.1,29.4,23.5,C
657825,Troup-Luverne-Bama (s164),74.6,13.4,12.0,C
657826,Sumter-Oktibbeha-Luverne-Conecuh (s165),47.3,29.7,22.9,D
657827,Troup-Dothan-Cowarts-Conecuh-Bibb (s166),69.7,18.2,12.2,A
657828,Troup-Luverne-Conecuh (s167),75.0,14.8,10.2,A
657829,Rains-Mantachie-Iuka-Cahaba-Bibb (s168),71.8,17.3,10.9,D
657830,Troup-Luverne-Dothan-Cowarts (s169),69.4,18.7,11.9,C
657831,Waynesboro-Tupelo-Locust-Leesburg-Holston-Chenneby (s17),59.9,23.2,17.0,C
657832,Vaiden-Sumter-Leeper (s170),20.3,35.3,44.4,D
657833,Roanoke-McQueen-Augusta (s171),53.2,31.9,14.9,C
657834,McQueen-Cahaba-Augusta (s172),60.6,25.1,14.3,C
657835,Red Bay-Izagora-Iuka-Cahaba (s173),63.1,24.6,12.3,B
657836,Troup-Smithdale-Luverne-Dothan (s174),71.8,17.6,10.6,A
657837,Troup-Luverne-Cowarts (s175),69.3,18.0,12.7,A
657838,Troup-Luverne (s176),71.9,17.1,11.0,A
657839,Troup-Luverne (s177),72.5,17.1,10.4,A
657840,Yonges-Troup-Orangeburg (s178),70.5,18.2,11.3,A
657841,Troup-Red Bay-Orangeburg-Luverne (s179),68.9,19.3,11.9,B
657842,Nella-Gorgas-Chenneby-Allen (s18),61.5,22.1,16.4,B
657843,Troup-Orangeburg-Luverne (s180),70.0,18.9,11.1,B
657844,Ochlockonee-Meggett-Kolomoki-Annemaine-Alaga (s181),76.1,13.4,10.6,B
657845,Troup-Orangeburg-Nankin-Lucy (s182),77.2,13.9,8.9,A
657846,Orangeburg-Fuquay-Dothan-Cowarts (s183),71.6,17.0,11.4,B
657847,Troup-Red Bay-Orangeburg (s184),72.5,16.3,11.3,B
657848,Troup-Dothan (s185),73.4,16.1,10.5,B
657849,Red Bay-Orangeburg-Lucy-Conecuh (s186),68.9,18.3,12.8,B
657850,Troup-Saffell-Orangeburg-Dothan (s187),67.9,15.2,9.8,B
657851,Kalmia-Eunola-Bigbee-Bibb-Alpin (s188),70.7,19.7,9.6,D
657852,Pickney-Grady-Dorovan-Bigbee-Bibb (s189),60.3,17.1,12.6,D
657853,Tupelo-Emory-Decatur-Chenneby-Allen (s19),33.0,45.2,21.9,B
